"","CODE","MeanSalience","SumSalience","SmithsS","n_item","n_ind","freq"
"6","Morality",0.815243004418262,316.314285714286,0.396881161498476,388,797,0.486825595984944
"12","Virtue",0.770264890522125,239.552380952381,0.300567604708132,311,797,0.390213299874529
"9","Ritual",0.820104895104895,234.55,0.294291091593476,286,797,0.358845671267252
"7","People",0.7600561963916,122.369047619048,0.153537073549621,161,797,0.202007528230866
"8","Religion",0.719742063492063,120.916666666667,0.151714763697198,168,797,0.210790464240903
"1","D/K",0.547826086956522,100.8,0.126474278544542,184,797,0.230865746549561
